dtype,method,rmse,r2
uni_mean,cif,4.89880218937497,0.9308407409492074
uni_mean,drcif,5.335520783508391,0.9179602823306916
uni_mean,iforest,8.033808784987977,0.8139997590958213
uni_mean,rinterval,11.796124794026639,0.5989955038724784
uni_mean,rise,9.031404669955831,0.7649387022694525
uni_mean,tsforest,8.033808784987977,0.8139997590958213
uni_mean,knn,13.896942109687297,0.44344380403458217
uni_mean,rocket,5.859373922666377,0.9010597614823551
uni_mean,minirocket,6.5529532742671694,0.8762501538480437
uni_mean,multirocket,7.186883489954471,0.8511490077862244
uni_med,cif,4.913848693679427,0.9304152478836455
uni_med,drcif,5.356021873788418,0.9173286158141211
uni_med,iforest,7.75684521285877,0.8266033208753603
uni_med,rinterval,11.152074253530147,0.6415885874459655
uni_med,rise,8.956273770031261,0.7688333145713256
uni_med,tsforest,7.75684521285877,0.8266033208753603
uni_med,knn,12.036403117210723,0.582492795389049
uni_med,rocket,5.651803307001465,0.9079455889883784
uni_med,minirocket,7.09297930744156,0.8550133848536192
uni_med,multirocket,7.6062066985808165,0.8332726791310211
uni_mean,fcn,14.60240372040974,0.38550376249614926
uni_mean,cnn,9.506470058150637,0.7395591557160963
uni_mean,inception,11.879722883909569,0.5932915971225226
uni_mean,resnet,76.62881721500331,-15.92211996475616
uni_mean,tapnet,14.80665144004471,0.3681932943314753
uni_mean,freshprince,7.246386141337971,0.848674028503242
uni_mean,catch22,9.193802578877524,0.7564092050162103
uni_mean,summary,13.561225602568154,0.4700091070785303
uni_mean,tsfresh,7.935550474171593,0.8185217252791787
uni_med,fcn,12.932975747464232,0.517977343848709
uni_med,cnn,9.52479544073812,0.7385540974411939
uni_med,inception,10.649279146255045,0.6731782526372836
uni_med,resnet,81.23400437790362,-18.01718578463765
uni_med,tapnet,16.737296125007084,0.19268852571706863
uni_med,freshprince,7.5294155701571555,0.8366221935788904
uni_med,catch22,9.36006502047395,0.7475192588256483
uni_med,summary,13.046528558274609,0.5094757711185159
uni_med,tsfresh,8.667802624872696,0.783484719470461
uni_p_25,cif,4.7952383201333175,0.9337339753692363
uni_p_25,drcif,5.612899032307191,0.9092085430925793
uni_p_25,iforest,7.939405037139118,0.8183453822946686
uni_p_25,rinterval,11.991580672757449,0.5855965215237753
uni_p_25,rise,10.121607572107804,0.7047638621217579
uni_p_25,tsforest,7.939405037139118,0.8183453822946686
uni_p_25,knn,15.215637515398427,0.3328079971181557
uni_p_25,rocket,5.474248101564816,0.913638638969781
uni_p_25,minirocket,6.618186878853916,0.87377407042238
uni_p_25,multirocket,8.134520626320247,0.8093071302016439
uni_p_25,freshprince,6.400507243082379,0.88194094245317
uni_p_25,catch22,10.806724342539,0.6634429653728386
uni_p_25,summary,14.889685607829334,0.3610872118155619
uni_p_25,tsfresh,5.245275590054827,0.9207120575918588
uni_p_75,cif,5.488791170706443,0.9131791685428674
uni_p_75,drcif,5.6602165649822975,0.9076713211455332
uni_p_75,iforest,8.031161234918024,0.8141223320425073
uni_p_75,rinterval,10.793457889069888,0.6642687803944525
uni_p_75,rise,9.37458042811117,0.7467355671379683
uni_p_75,tsforest,8.031161234918024,0.8141223320425073
uni_p_75,knn,14.54626240654279,0.3902197406340058
uni_p_75,rocket,5.2806185236379655,0.9196399654403793
uni_p_75,minirocket,7.084207630474125,0.8553717644044155
uni_p_75,multirocket,7.645973619808472,0.8315247475653975
uni_p_75,freshprince,7.592453721665019,0.8338750619146253
uni_p_75,catch22,9.271593587741537,0.7522696032961096
uni_p_75,summary,11.172475088778448,0.6402760818173632
uni_p_75,tsfresh,8.367551118382845,0.7982250382744956
uni_p_25,fcn,13.578799444301739,0.4686345984191089
uni_p_25,cnn,10.009320704790523,0.7112780951834343
uni_p_25,inception,11.970490063038033,0.5870529327109731
uni_p_25,resnet,37.811247834211464,-3.1201454258794277
uni_p_25,tapnet,16.373038296797166,0.22744558193548525
uni_p_75,fcn,11.895559342642054,0.5922065358088799
uni_p_75,cnn,9.227685237667416,0.7546104471312244
uni_p_75,inception,10.227758424437763,0.6985387827416207
uni_p_75,resnet,30.36451276590935,-1.657070995709141
uni_p_75,tapnet,15.97719655557212,0.2643492513677649
multi,cif,5.977448700637255,0.8970320087355907
multi,drcif,5.974691937665071,0.8971269632564841
multi,iforest,7.533534715689575,0.8364433852665706
multi,rinterval,10.812604407010367,0.663076616534582
multi,rise,11.378369873429257,0.6268953862346902
multi,tsforest,7.533534715689575,0.8364433852665706
multi,knn,16.0024412200139,0.26202269452449567
multi,rocket,8.08595066096399,0.8115775271137061
multi,minirocket,7.903798399483186,0.8199710975801932
